dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-04-17,26,Vejle Boldklub,Viborg FF,3,3,6203,Vejle Stadion
2025-04-17,26,Lyngby Boldklub,SønderjyskE,0,2,4385,Lyngby Stadion
2025-04-17,26,Randers FC,AGF,3,1,8855,Cepheus Park Randers
2025-04-17,26,FC Midtjylland,FC København,4,2,11832,MCH Arena
2025-04-18,26,Brøndby IF,FC Nordsjælland,0,0,23986,Brøndby Stadion
2025-04-20,27,AaB,SønderjyskE,2,3,7059,Aalborg Portland Park
2025-04-21,27,Viborg FF,Lyngby Boldklub,1,1,5536,Energi Viborg Arena
2025-04-21,27,Vejle Boldklub,Silkeborg IF,0,4,7331,Vejle Stadion
2025-04-21,27,Brøndby IF,Randers FC,4,3,23198,Brøndby Stadion
2025-04-21,27,FC København,AGF,3,1,28476,Parken
2025-04-22,27,FC Nordsjælland,FC Midtjylland,3,2,4192,Right to Dream Park
2025-04-25,28,Randers FC,Brøndby IF,0,0,9084,Cepheus Park Randers
2025-04-27,28,Lyngby Boldklub,Silkeborg IF,2,0,5243,Lyngby Stadion
2025-04-27,28,SønderjyskE,Viborg FF,2,2,5823,AL Sydbank Park
2025-04-27,28,AGF,FC København,1,3,8142,Ceres Park
2025-04-27,28,FC Midtjylland,FC Nordsjælland,5,0,8891,MCH Arena
2025-04-28,28,AaB,Vejle Boldklub,0,1,7961,Aalborg Portland Park
2025-05-02,29,Randers FC,FC Nordsjælland,3,2,6365,Cepheus Park Randers
2025-05-04,29,Lyngby Boldklub,Viborg FF,0,0,5529,Lyngby Stadion
2025-05-04,29,Silkeborg IF,Vejle Boldklub,1,1,4550,JYSK Park
2025-05-04,29,Brøndby IF,FC København,0,3,26885,Brøndby Stadion
2025-05-04,29,FC Midtjylland,AGF,3,1,11303,MCH Arena
2025-05-05,29,SønderjyskE,AaB,2,2,5487,AL Sydbank Park
2025-05-11,30,FC Nordsjælland,Brøndby IF,2,2,7852,Right to Dream Park
2025-05-11,30,Silkeborg IF,SønderjyskE,1,0,3448,JYSK Park
2025-05-11,30,AGF,Randers FC,1,3,6786,Ceres Park
2025-05-11,30,Viborg FF,AaB,3,1,5678,Energi Viborg Arena
2025-05-11,30,FC København,FC Midtjylland,1,1,34418,Parken
2025-05-12,30,Vejle Boldklub,Lyngby Boldklub,2,0,9221,Vejle Stadion
2025-05-16,31,FC Nordsjælland,AGF,2,0,4168,Right to Dream Park
2025-05-18,31,AaB,Silkeborg IF,2,3,9276,Aalborg Portland Park
2025-05-18,31,Viborg FF,Vejle Boldklub,0,1,6136,Energi Viborg Arena
2025-05-18,31,SønderjyskE,Lyngby Boldklub,5,1,6398,AL Sydbank Park
2025-05-18,31,Randers FC,FC København,0,4,9110,Cepheus Park Randers
2025-05-19,31,Brøndby IF,FC Midtjylland,1,2,20982,Brøndby Stadion
2025-05-24,32,Vejle Boldklub,SønderjyskE,2,3,9490,Vejle Stadion
2025-05-24,32,Lyngby Boldklub,AaB,3,1,4877,Lyngby Stadion
2025-05-24,32,Silkeborg IF,Viborg FF,1,2,4838,JYSK Park
2025-05-25,32,FC Midtjylland,Randers FC,3,2,12018,MCH Arena
2025-05-25,32,FC København,FC Nordsjælland,3,0,35972,Parken
2025-05-25,32,AGF,Brøndby IF,2,3,6211,Ceres Park
