dato,runde,hjemmehold,udehold,hjemmemaal,udemaal,tilskuere,stadion
2025-11-23,29,HamKam,Haugesund,5,0,2940,Briskeby
2025-11-23,29,Fredrikstad,Viking,0,1,10689,Fredrikstad stadion
2025-11-30,30,Bodø/Glimt,Fredrikstad,5,0,6596,Aspmyra stadion
2025-11-30,30,Brann,HamKam,3,1,14081,Brann stadion
2025-11-30,30,Haugesund,Bryne,1,4,3461,Haugesund Sparebank Arena
2025-11-30,30,Kristiansund,Tromsø,1,3,2948,Nordmøre stadion
2025-11-30,30,Rosenborg,Strømsgodset,6,0,10434,Lerkendal stadion
2025-11-30,30,Sandefjord Fotball,KFUM,2,0,5013,Jotun Arena
2025-11-30,30,Sarpsborg 08,Molde,1,0,5339,Sarpsborg st KG
2025-11-30,30,Viking,Vålerenga,5,1,15900,Lyse Arena
